CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKCOROMANDEL27-JUL-2023,954.5000000,945.0000000,950.5000000,930.0000000,934.0000000,934.0000000,-2.1400000,83.0000000,27300.0000000,39.0000000,25630605.0000000
FUTSTKPEL29-JUN-2023,788.0000000,791.4500000,802.2000000,782.3000000,785.9500000,785.9500000,-0.2600000,15549.0000000,1369500.0000000,2490.0000000,1084399745.0000000
FUTSTKCANFINHOME27-JUL-2023,746.9500000,745.8500000,751.9000000,739.7500000,745.8000000,745.8000000,-0.1500000,87.0000000,35100.0000000,36.0000000,26122590.0000000
FUTIDXBANKNIFTY27-JUL-2023,44302.6000000,44304.0000000,44449.0000000,44192.9500000,44263.9500000,44263.9500000,-0.0800000,19600.0000000,111105.0000000,7407.0000000,4924891676.2500000
FUTSTKGUJGASLTD27-JUL-2023,483.5500000,481.0000000,490.0000000,481.0000000,485.0000000,485.0000000,0.2900000,105.0000000,36250.0000000,29.0000000,17624125.0000000
FUTSTKABBOTINDIA27-JUL-2023,21559.0500000,21664.7500000,21730.0000000,21373.3000000,21683.6500000,21683.6500000,0.5700000,57.0000000,680.0000000,17.0000000,14664714.0000000
FUTSTKDRREDDY29-JUN-2023,4667.9500000,4684.1000000,4729.0000000,4670.7000000,4688.9000000,4688.9000000,0.4400000,25317.0000000,304625.0000000,2437.0000000,1431497681.2500000
FUTSTKNATIONALUM29-JUN-2023,84.7500000,85.0000000,85.6500000,84.0500000,84.5000000,84.5000000,-0.2900000,5774.0000000,9195000.0000000,1226.0000000,779484750.0000000
FUTSTKAPOLLOHOSP29-JUN-2023,4956.4000000,4951.0500000,4982.4500000,4927.7000000,4941.3000000,4941.3000000,-0.3000000,14268.0000000,314625.0000000,2517.0000000,1557686750.0000000
FUTSTKIPCALAB27-JUL-2023,743.1500000,743.1000000,745.3500000,733.8000000,735.8000000,735.8000000,-0.9800000,108.0000000,36400.0000000,56.0000000,26925632.5000000
FUTSTKLUPIN27-JUL-2023,817.6000000,816.5500000,822.0000000,812.8000000,813.7000000,813.7000000,-0.4700000,308.0000000,34850.0000000,41.0000000,28445802.5000000
FUTSTKTATACONSUM29-JUN-2023,811.3500000,811.8000000,815.5500000,803.3500000,805.4500000,805.4500000,-0.7200000,11497.0000000,1886400.0000000,2096.0000000,1525018365.0000000
FUTSTKDIVISLAB29-JUN-2023,3508.4500000,3495.0000000,3509.6500000,3435.8000000,3447.0500000,3447.0500000,-1.7500000,18931.0000000,753000.0000000,5020.0000000,2611046797.5000000
FUTSTKBPCL29-JUN-2023,363.4000000,365.0500000,366.1500000,360.7500000,361.6000000,361.6000000,-0.4900000,11909.0000000,3346200.0000000,1859.0000000,1214490690.0000000
