SYMBOL,PIVOT,BOTTOMCPR,TOPCPR,MOMENTUMOFSTOCK
BHAGYANGR,48.47,48.3,48.63,Low
BHANDARI,4.75,4.75,4.75,High
BHARATFORG,759.38,760.42,758.34,Low
BHARATGEAR,121.02,121.08,120.96,High
BHARATRAS,9986.48,10008.98,9963.99,Low
BHARATWIRE,157.57,157.62,157.51,High
BHARTIARTL,802.45,800.8,804.1,Low
BHEL,80.47,80.67,80.26,Low
BIGBLOC,170.45,170.15,170.75,Low
BIKAJI,381.88,380.73,383.04,Low
BIL,179.85,180.68,179.02,Low
BINANIIND,24.28,24.0,24.57,Low
BIOCON,242.98,243.6,242.37,Low
BIOFILCHEM,43.75,43.65,43.85,High
BIRET,272.99,273.02,272.95,High
BIRLACABLE,166.0,165.25,166.75,Low
BIRLACORPN,990.27,991.62,988.91,Low
BIRLAMONEY,50.97,51.02,50.91,High
BIRLATYRE,4.45,4.47,4.43,High
BLAL,170.7,170.7,170.7,High
BLBLIMITED,20.73,21.12,20.34,Low
BLISSGVS,73.38,73.55,73.22,Low
BLKASHYAP,41.82,41.9,41.73,High
BLS,176.02,176.8,175.23,Low
BLUEDART,6035.42,6027.5,6043.33,Low
BLUESTARCO,1410.6,1414.25,1406.95,Low
BMETRICS,415.45,413.7,417.2,Low
BODALCHEM,67.42,67.5,67.33,High
BOHRAIND,86.62,87.03,86.21,Low
BOMDYEING,82.72,82.78,82.66,High
BOROLTD,408.72,407.6,409.83,Low
BORORENEW,513.42,515.73,511.11,Low
BOSCHLTD,18920.1,18938.05,18902.15,Low
BPCL,360.13,360.05,360.22,High
BPL,58.88,59.02,58.74,Low
BRIGADE,537.97,535.58,540.36,Low
BRIGHT,4.97,4.97,4.96,High
BRITANNIA,4525.7,4538.62,4512.77,Low
BRITANNIA,28.33,28.33,28.33,High
BRNL,31.45,31.38,31.52,High
BROOKS,62.67,62.83,62.51,Low
BSE,525.03,525.48,524.59,Low
BSHSL,306.57,307.1,306.03,Low
BSL,190.93,190.75,191.12,Low
BSLGOLDETF,54.38,54.39,54.36,High
BSLNIFTY,20.68,20.75,20.62,High
BSLSENETFG,60.04,60.05,60.03,High
BSOFT,330.7,328.73,332.67,Low
BTML,178.82,180.43,177.21,Low
BURNPUR,4.63,4.65,4.62,High
BUTTERFLY,1020.37,1018.2,1022.53,Low
BVCL,38.47,38.58,38.36,High
BYKE,39.72,39.7,39.73,High
CADSYS,35.1,35.1,35.1,High
CALSOFT,15.37,15.48,15.26,High
CAMLINFINE,172.47,172.35,172.58,High
CAMPUS,354.07,353.8,354.33,Low
CAMS,2073.27,2069.05,2077.48,Low
CANBK,296.02,295.12,296.91,Low
CANFINHOME,665.43,664.98,665.89,Low
CANTABIL,1048.4,1047.97,1048.82,Low
CAPACITE,168.3,168.25,168.35,High
CAPLIPOINT,699.95,699.88,700.02,High
CAPTRUST,68.22,68.2,68.23,High
CARBORUNIV,1196.02,1193.58,1198.46,Low
CAREERP,220.12,220.3,219.93,Low
CARERATING,703.97,704.3,703.63,Low
CARTRADE,420.03,419.75,420.32,Low
CARYSIL,590.08,588.9,591.27,Low
CASTROLIND,112.68,112.7,112.67,High
CCCL,1.32,1.3,1.33,High
CCHHL,7.07,7.03,7.11,High
CCL,601.68,604.1,599.27,Low
CDSL,987.72,986.53,988.91,Low
CEATLTD,1859.47,1854.1,1864.83,Low
CELEBRITY,14.07,14.1,14.03,High
CENTENKA,394.5,396.5,392.5,Low
CENTEXT,10.0,10.03,9.97,High
CENTRALBK,26.63,26.62,26.64,High
CENTRUM,18.48,18.5,18.47,High
CENTUM,823.62,818.35,828.88,Low
CENTURYPLY,573.68,573.0,574.37,Low
CENTURYTEX,809.95,813.05,806.85,Low
CERA,7477.72,7468.02,7487.41,Low
CEREBRAINT,6.7,6.7,6.7,High
CESC,71.9,72.0,71.8,High
CGCL,679.78,682.5,677.07,Low
CGPOWER,339.55,339.0,340.1,Low
CHALET,429.28,429.02,429.54,Low
CHAMBLFERT,291.28,291.62,290.94,Low
CHEMBOND,312.73,313.18,312.29,Low
CHEMCON,270.18,269.62,270.74,Low
CHEMFAB,305.85,301.42,310.27,Low
CHEMPLASTS,464.48,463.75,465.22,Low
CHENNPETRO,353.68,355.2,352.17,Low
CHEVIOT,1161.88,1162.0,1161.77,High
CHOICEIN,359.23,360.07,358.39,Low
CHOLAFIN,1039.48,1037.53,1041.44,Low
CHOLAFIN,1005.0,1005.0,1005.0,High
CHOLAFIN,1008.05,1008.39,1007.7,Low
CHOLAFIN,1004.0,1004.0,1004.0,High
CHOLAHLDNG,830.03,828.0,832.07,Low
CIGNITITEC,840.72,834.77,846.66,Low
CINELINE,79.22,79.67,78.76,Low
CINEVISTA,11.83,11.85,11.82,High
CIPLA,917.08,917.5,916.67,Low
CLEAN,1492.47,1490.5,1494.43,Low
CLEDUCATE,58.3,58.73,57.88,Low
CLOUD,193.77,195.9,191.63,Low
CLSEL,194.05,193.9,194.2,Low
CMNL,54.63,54.5,54.77,Low
CMRSL,119.33,120.0,118.67,Low
CMSINFO,311.32,313.07,309.56,Low
COALINDIA,239.27,238.95,239.58,Low
COASTCORP,199.75,200.1,199.4,Low
COASTPP1,135.75,134.0,137.5,Low
COCHINSHIP,543.62,544.35,542.88,Low
COFFEEDAY,36.55,36.58,36.53,High
COFORGE,4262.55,4254.75,4270.35,Low
COLPAL,1611.03,1612.17,1609.89,Low
COMPINFO,13.25,13.28,13.22,High
COMPUSOFT,17.65,17.65,17.65,High
CONCOR,622.23,620.17,624.29,Low
CONFIPET,61.43,61.4,61.47,High
CONSOFINVT,114.77,115.22,114.31,Low
CONSUMBEES,83.86,83.84,83.89,High
CONTI,17.9,17.9,17.9,High
CONTROLPR,595.48,597.65,593.32,Low
COOLCAPS,525.33,525.5,525.17,Low
CORALFINAC,33.53,33.8,33.27,Low
CORDSCABLE,89.93,88.12,91.74,Low
COROMANDEL,930.2,931.83,928.58,Low
COSMOFIRST,653.9,653.83,653.97,High
COUNCODOS,3.92,3.9,3.93,High
CPSEETF,43.05,43.04,43.05,High
CRAFTSMAN,3523.62,3534.5,3512.73,Low
CREATIVE,391.43,389.3,393.57,Low
CREATIVEYE,4.17,4.2,4.13,High
CREDITACC,1213.37,1210.0,1216.73,Low
CREDITACC,1005.67,1006.0,1005.33,Low
CREDITACC,1014.0,1014.0,1014.0,High
CREDITACC,1060.98,1060.47,1061.49,Low
CREST,181.5,181.73,181.27,Low
CRISIL,3538.48,3533.38,3543.59,Low
CROMPTON,254.07,253.85,254.28,Low
CROWN,35.27,35.05,35.48,Low
CSBBANK,284.95,285.5,284.4,Low
CSLFINANCE,216.55,217.62,215.47,Low
CTE,54.43,54.42,54.44,High
CUB,139.9,139.62,140.18,Low
CUBEXTUB,40.48,40.65,40.32,Low
CUMMINSIND,1633.0,1629.65,1636.35,Low
CUPID,257.28,257.4,257.17,High
CYBERMEDIA,16.77,16.9,16.63,Low
CYBERTECH,128.57,128.15,128.98,Low
CYIENT,1301.6,1302.53,1300.68,Low
DAAWAT,118.57,118.93,118.21,Low
DABUR,520.67,521.45,519.88,Low
DALBHARAT,2056.45,2055.85,2057.05,Low
DALMIASUG,366.4,368.18,364.63,Low
DAMODARIND,41.2,41.38,41.02,Low
DANGEE,13.0,13.0,13.0,High
DATAMATICS,490.05,489.0,491.1,Low
DATAPATTNS,1605.27,1606.53,1604.01,Low
DBCORP,119.38,119.03,119.74,Low
DBL,168.2,168.68,167.73,Low
DBOL,166.43,166.25,166.62,Low
DBREALTY,80.27,80.05,80.48,Low
DBSTOCKBRO,23.83,23.85,23.82,High
DCAL,128.47,127.88,129.06,Low
DCBBANK,113.9,113.88,113.92,High
DCI,159.73,160.85,158.62,Low
DCM,66.02,65.8,66.23,Low
DCMFINSERV,4.52,4.53,4.51,High
DCMNVL,145.28,145.68,144.89,Low
DCMSHRIRAM,832.85,832.02,833.68,Low
DCMSRIND,69.7,69.68,69.72,High
DCW,44.38,44.15,44.62,Low
DCXINDIA,195.35,196.7,194.0,Low
DECCANCE,464.67,463.18,466.16,Low
DEEPAKFERT,555.93,558.48,553.39,Low
DEEPAKNTR,1953.27,1959.35,1947.18,Low
DEEPENR,114.18,114.47,113.89,Low
DEEPINDS,162.18,163.38,160.99,Low
DELHIVERY,364.53,366.12,362.94,Low
DELPHIFX,328.07,329.48,326.66,Low
DELTACORP,219.67,219.85,219.48,Low
DELTAMAGNT,73.5,74.03,72.97,Low
DEN,30.37,30.38,30.36,High
DENEERS,186.9,186.68,187.12,Low
DENORA,1493.35,1499.0,1487.7,Low
DEVIT,113.95,115.18,112.72,Low
DEVYANI,181.98,181.5,182.47,Low
DGCONTENT,15.38,15.32,15.44,High
DHAMPURSUG,248.63,248.22,249.04,Low
DHANBANK,16.67,16.62,16.71,High
DHANI,35.97,36.15,35.78,Low
DHANILOANS,997.61,997.42,997.81,Low
DHANILOANS,1005.84,1007.5,1004.18,Low
DHANILOANS,1025.0,1025.0,1025.0,High
DHANILOANS,1010.0,1010.0,1010.0,High
DHANUKA,672.6,672.38,672.83,Low
DHARMAJ,170.92,171.0,170.83,High
DHARSUGAR,8.48,8.5,8.47,High
DHRUV,50.52,50.5,50.53,High
DHUNINV,685.58,685.4,685.77,Low
DIAMONDYD,786.13,788.17,784.09,Low
DICIND,389.3,390.18,388.43,Low
DIGISPICE,18.85,18.8,18.9,High
DIGJAMLMTD,87.77,87.3,88.23,Low
DIL,16.85,16.8,16.9,High
DISHTV,14.88,14.93,14.84,High
DIVGIITTS,726.18,730.5,721.87,Low
DIVISLAB,3114.05,3121.93,3106.18,Low
DIVOPPBEES,50.29,50.34,50.25,High
DIXON,3023.45,3017.5,3029.4,Low
DJML,173.38,173.38,173.39,High
DKEGL,60.15,60.23,60.07,High
DLF,466.13,463.25,469.02,Low
DLINKINDIA,242.78,242.5,243.07,Low
DMART,3401.62,3404.8,3398.43,Low
DMCC,277.48,279.98,274.99,Low
DNAMEDIA,2.72,2.75,2.68,High
DODLA,497.05,494.52,499.58,Low
DOLATALGO,47.5,47.6,47.4,High
DOLLAR,366.12,364.6,367.63,Low
DOLLEX,37.68,37.5,37.87,Low
DONEAR,97.0,97.22,96.78,Low
DPABHUSHAN,295.72,296.05,295.38,Low
DPSCLTD,10.58,10.6,10.57,High
DPWIRES,395.2,394.5,395.9,Low
DRCSYSTEMS,40.5,40.25,40.75,Low
DREAMFOLKS,492.88,492.17,493.59,Low
DREDGECORP,336.35,336.15,336.55,Low
DRL,9.05,9.05,9.05,High
DRREDDY,4405.33,4412.02,4398.64,Low
DSPBANKETF,43.86,43.85,43.88,High
DSPGOLDETF,60.53,60.9,60.17,Low
DSPN50ETF,184.18,184.12,184.24,High
DSPNEWETF,211.83,211.5,212.16,Low
DSPQ50ETF,167.51,167.45,167.58,High
DSPSILVETF,71.38,71.3,71.46,High
DSSL,369.32,369.0,369.63,Low
DTIL,201.13,201.22,201.04,High
DUCOL,119.03,119.1,118.97,High
DUCON,7.62,7.55,7.68,High
DUGLOBAL,202.57,204.18,200.96,Low
DVL,248.62,249.18,248.06,Low
DWARKESH,90.62,90.07,91.16,Low
DYCL,190.23,190.6,189.87,Low
DYNAMATECH,3422.93,3426.0,3419.87,Low
DYNAMIC,24.72,24.55,24.88,Low
DYNPRO,314.58,314.15,315.02,Low
E2E,169.8,171.05,168.55,Low
EASEMYTRIP,46.15,46.22,46.08,High
EBANK,4421.03,4421.03,4421.03,High
EBBETF0425,1128.64,1128.38,1128.91,Low
EBBETF0430,1282.87,1282.0,1283.73,Low
EBBETF0431,1146.91,1146.7,1147.11,Low
EBBETF0433,1046.76,1046.99,1046.53,Low
ECLERX,1385.23,1380.5,1389.97,Low
ECLFINANCE,993.67,993.5,993.83,Low
ECLFINANCE,1539.63,1539.65,1539.62,High
ECLFINANCE,973.34,973.51,973.17,Low
ECLFINANCE,1022.37,1021.05,1023.68,Low
ECLFINANCE,996.0,996.5,995.5,Low
ECLFINANCE,1022.67,1023.0,1022.33,Low
ECLFINANCE,1005.0,1005.0,1005.0,High
ECLFINANCE,1012.0,1012.5,1011.5,Low
EDELWEISS,64.43,64.75,64.12,Low
EHFLNCD,1053.73,1052.1,1055.37,Low
EICHERMOT,3553.8,3545.25,3562.35,Low
EIDPARRY,496.22,496.02,496.41,Low
EIFFL,147.6,147.7,147.5,High
EIHAHOTELS,504.32,506.2,502.43,Low
EIHOTEL,206.18,206.65,205.72,Low
EIMCOELECO,663.88,663.9,663.87,High
EKC,99.58,99.55,99.62,High
ELDEHSG,592.15,592.27,592.02,Low
ELECON,551.98,546.42,557.54,Low
ELECTCAST,45.05,45.3,44.8,Low
ELECTHERM,65.77,65.8,65.73,High
ELGIEQUIP,471.47,471.1,471.83,Low
ELGIRUBCO,42.35,42.47,42.22,Low
ELIN,135.15,134.75,135.55,Low
EMAMILTD,394.67,394.0,395.33,Low
EMAMILTD,391.67,391.43,391.91,Low
EMAMIPAP,125.53,125.75,125.32,Low
EMAMIREAL,70.72,70.67,70.76,High
